number,name,region,lat,lon,elev,type,status,lasterp
0900-351,Lomonosov Group,Kuril Is,50.25,155.43,1681,Cinder cone,Holocene,U
0501-05=,Long Island,New Guinea-NE of,-5.358,147.12,1280,Complex volcano,Historical,D1
1203-14-,Long Valley,US-California,37.7,-118.87,3390,Caldera,Pleistocene-Fumarol,Q
1507-063,"Longavi, Nevado de",Chile-C,-36.193,-71.161,3242,Stratovolcano,Holocene,U
1005-05-,Longgang Group,China-E,42.33,126.5,1000,Cinder cone,Radiocarbon,D4
0202-10=,Longonot,Africa-E,-0.92,36.45,2776,Stratovolcano,Anthropology,D3
1507-10=,Lonquimay,Chile-C,-38.377,-71.58,2865,Stratovolcano,Historical,D1
0507-05=,Lopevi,Vanuatu-SW Pacific,-16.507,168.346,1413,Stratovolcano,Historical,D1
0705-09-,Lower Chindwin,SE Asia,22.28,95.1,385,Volcanic field,Holocene,Unknown
0601-111,Lubukraya,Sumatra,1.478,99.209,1862,Stratovolcano,Holocene,Unknown
0601-24=,"Lumut Balai, Bukit",Sumatra,-4.22,103.62,2055,Stratovolcano,Fumarolic,U
0301-04-,"Lunayyir, Harrat",Arabia-W,25.17,37.75,1370,Volcanic field,Historical,D6
0603-321,Lurus,Java,-7.7,113.58,539,Complex volcano,Holocene,Unknown
0900-041,Lvinaya Past,Kuril Is,44.62,147,528,Stratovolcano,Radiocarbon,D7
1700-02=,Lysuholl,Iceland-W,64.87,-23.25,540,Pyroclastic cone,Holocene,U
0201-111,Ma Alalta,Ethiopia,13.02,40.2,1815,Stratovolcano,Holocene,U
1508-056,Maca,Chile-S,-45.1,-73.2,2960,Stratovolcano,Holocene,U
0402-021,Macauley Island,Kermadec Is,-30.2,-178.47,238,Caldera,Holocene,U
1303-08-,Macdonald,Austral Is-C Pacific,-28.98,-140.25,-50,Submarine volcano,Historical,D1
1501-04=,"Machin, Cerro",Colombia,4.48,-75.4,2650,Stratovolcano,Radiocarbon,D6
1505-014,Macizo de Larancagua,Bolivia,-18.25,-68.53,5520,Stratovolcano,Holocene,Unknown
1505-015,Macizo de Pacuni,Bolivia,-18.32,-68.8,5400,Stratovolcano,Holocene,Unknown
1404-13-,Maderas,Nicaragua,11.446,-85.515,1394,Stratovolcano,Holocene,U
0503-004,Madilogo,New Guinea,-9.2,147.57,850,Pyroclastic cone,Holocene,U
0702-01=,Magaso,Philippines-C,9.258,123.175,1904,Stratovolcano,Holocene,U
1102-15-,Mageik,Alaska Peninsula,58.2,-155.25,2165,Stratovolcano,Historical,D2
0702-07=,Mahagnoa,Philippines-C,10.872,124.853,800,Stratovolcano,Fumarolic,U
0606-11=,Mahawu,Sulawesi-Indonesia,1.358,124.858,1324,Stratovolcano,Historical,D1
1507-021,Maipo,Chile-C,-34.161,-69.833,5264,Caldera,Historical,D2
0701-04=,Makaturing,Mindanao-Philippines,7.647,124.32,1940,Stratovolcano,Holocene,U
0608-07=,Makian,Halmahera-Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1
1101-31-,Makushin,Aleutian Is,53.9,-166.93,2036,Stratovolcano,Historical,D1
0603-081,Malabar,Java,-7.13,107.65,2343,Stratovolcano,Holocene,Unknown
0603-292,Malang Plain,Java,-8.02,112.68,680,Maar,Holocene,U
0703-04=,Malinao,Luzon-Philippines,13.422,123.597,1548,Stratovolcano,Fumarolic,U1
1401-091,"Malinche, La",Mexico,19.23,-98.03,4503,Stratovolcano,Radiocarbon,D7
0701-071,Malindang,Mindanao-Philippines,8.22,123.63,2435,Stratovolcano,Holocene,U
0703-044,Malindig,Luzon-Philippines,13.24,122.018,1157,Stratovolcano,Hot Springs,U
0201-102,Mallahle,Ethiopia,13.27,41.65,1875,Stratovolcano,Holocene,Unknown
1000-29-,Maly Payalpan,Kamchatka,55.82,157.98,1802,Shield volcano,Holocene,U
1000-14=,Maly Semiachik,Kamchatka,54.13,159.67,1560,Caldera,Historical,D2
0503-021,Managlase Plateau,New Guinea,-9.08,148.33,1342,Volcanic field,Anthropology,U
0501-02=,Manam,New Guinea-NE of,-4.1,145.061,1807,Stratovolcano,Historical,D1
1703-15-,Manareyjar,Iceland-N,66.3,-17.1,0,Submarine volcano,Historical,D3
0201-115,Manda Hararo,Ethiopia,12.17,40.82,600,Shield volcano,Holocene,U
0201-122,Manda-Inakir,Ethiopia,12.38,42.2,600,Fissure vent,Historical,D2
0702-03=,Mandalagan,Philippines-C,10.615,123.22,1879,Stratovolcano,Holocene,U
0204-02-,Manengouba,Africa-W,5.03,9.83,2411,Stratovolcano,Holocene,U
0605-08=,Manuk,Banda Sea,-5.53,130.292,282,Stratovolcano,Fumarolic,U
0703-06=,Maquiling,Luzon-Philippines,14.13,121.2,1090,Stratovolcano,Holocene,U
0601-14=,Marapi,Sumatra,-0.381,100.473,2891,Complex volcano,Historical,D1
1503-08=,Marchena,Galapagos,0.33,-90.47,343,Shield volcano,Historical,D1
0608-062,Mare,Halmahera-Indonesia,0.57,127.4,308,Unknown,Holocene,U
0301-10-,"Marha, Jabal el-",Arabia-S,15.28,44.22,2650,Tuff cone,Holocene,U
0304-07-,Marion Island,Indian O-S,-46.9,37.75,1230,Shield volcano,Historical,D1
0703-081,Mariveles,Luzon-Philippines,14.5,120.5,1420,Stratovolcano,Radiocarbon,D7
1207-04-,Markagunt Plateau,US-Utah,37.58,-112.67,2840,Volcanic field,Dendrochronology,D6
0401-061,Maroa,New Zealand,-38.42,176.08,1156,Caldera,Tephrochronology,D6
0205-03-,"Marra, Jebel",Africa-N,12.95,24.27,3042,Volcanic field,Radiocarbon,D7
0202-021,Marsabit,Africa-E,2.32,37.97,1707,Shield volcano,Holocene,Unknown
1102-14-,Martin,Alaska Peninsula,58.17,-155.35,1860,Stratovolcano,Historical,D2
0703-031,Masaraga,Luzon-Philippines,13.32,123.6,1328,Stratovolcano,Holocene,U
1404-10=,Masaya,Nicaragua,11.984,-86.161,635,Caldera,Historical,D1
1401-031,Mascota Volc Field,Mexico,20.62,-104.83,2540,Shield volcano,Holocene,U
1000-001,Mashkovtsev,Kamchatka,51.1,156.72,503,Stratovolcano,Holocene,U
0805-081,Mashu,Hokkaido-Japan,43.57,144.57,855,Caldera,Radiocarbon,D6
0201-105,Mat Ala,Ethiopia,13.1,41.15,523,Shield volcano,Holocene,U
0508-01=,Matthew Island,SW Pacific,-22.33,171.32,177,Stratovolcano,Historical,D2
0701-02=,Matutum,Mindanao-Philippines,6.37,125.108,2293,Stratovolcano,Holocene,U
1507-061,"Maule, Laguna del",Chile-C,-36.02,-70.58,3092,Stratovolcano,Holocene,U
1302-03-,Mauna Kea,Hawaiian Is,19.82,-155.47,4206,Shield volcano,Radiocarbon,D7
1302-02=,Mauna Loa,Hawaiian Is,19.475,-155.608,4170,Shield volcano,Historical,D1
0203-01=,May-ya-moto,Africa-C,-0.93,29.33,950,Fumarole field,Fumarolic,Unknown
0703-03=,Mayon,Luzon-Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1
0401-021,Mayor Island,New Zealand,-37.28,176.25,355,Shield volcano,Radiocarbon,D7
0304-011,McDonald Islands,Indian O-S,-53.03,72.6,186,Complex volcano,Historical,D1
1200-18-,Meager,Canada,50.63,-123.5,2680,Complex volcano,Radiocarbon,D7
1203-02-,Medicine Lake,US-California,41.58,-121.57,2412,Shield volcano,Radiocarbon,D6
0900-10=,Medvezhia,Kuril Is,45.38,148.83,1124,Somma volcano,Historical,D1
0201-33-,Mega Basalt Field,Ethiopia,4.08,37.42,1067,Pyroclastic cone,Holocene,U
0803-262,Megata,Honshu-Japan,39.95,139.73,291,Maar,Tephrochronology,D7
1303-06-,Mehetia,Society Is-C Pacific,-17.87,-148.07,435,Stratovolcano,Anthropology,U
0205-05-,Meidob Volc Field,Africa-N,15.32,26.47,2000,Scoria cone,Holocene,D7
1900-015,Melbourne,Antarctica,-74.35,164.7,2732,Stratovolcano,Tephrochronology,D4
1508-053,Melimoyu,Chile-S,-44.08,-72.88,2400,Stratovolcano,Holocene,U
1507-151,Mencheca,Chile-C,-40.534,-72.038,1840,Stratovolcano,Holocene,U
0900-02=,Mendeleev,Kuril Is,43.98,145.7,887,Stratovolcano,Historical,D3
0202-06=,Menengai,Africa-E,-0.2,36.07,2278,Shield volcano,Tephrochronology,D7
1508-055,Mentolat,Chile-S,-44.67,-73.08,1660,Stratovolcano,Holocene,Unknown
0603-25=,Merapi,Java,-7.542,110.442,2947,Stratovolcano,Historical,D1
0603-24=,Merbabu,Java,-7.45,110.43,3145,Stratovolcano,Historical,D4
0507-021,Mere Lava,Vanuatu-SW Pacific,-14.45,168.05,1028,Stratovolcano,Holocene,U
0202-16=,Meru,Africa-E,-3.25,36.75,4565,Stratovolcano,Historical,D2
0102-02=,Methana,Greece,37.615,23.336,760,Lava dome,Historical,D7
0403-07=,Metis Shoal,Tonga-SW Pacific,-19.18,-174.87,43,Submarine volcano,Historical,D1
1000-57-,Mezhdusopochny,Kamchatka,57.47,160.25,1641,Shield volcano,Holocene,U
1900-09=,Michael,Antarctica,-57.78,-26.45,990,Stratovolcano,Historical,D3
1401-06=,Michoacan-Guanajuato,Mexico,19.48,-102.25,3860,Cinder cone,Historical,D2
1600-10=,Micotrin,W Indies,15.33,-61.33,1387,Lava dome,Historical,D3
1003-05-,Middle Gobi,Mongolia,45.28,106.7,1120,Cinder cone,Holocene,Unknown
1200-12-,Milbanke Sound Group,Canada,52.5,-128.73,335,Cinder cone,Holocene,U
0900-161,Milne,Kuril Is,46.82,151.78,1540,Somma volcano,Holocene,U
0102-03=,Milos,Greece,36.699,24.439,751,Stratovolcano,Holocene,U
0804-131,Minami-Hiyoshi,Volcano Is-Japan,23.507,141.905,-30,Submarine volcano,Historical,D1
1508-04=,Minchinmavida,Chile-S,-42.78,-72.43,2404,Stratovolcano,Historical,D3
1405-03=,Miravalles,Costa Rica,10.748,-85.153,2028,Stratovolcano,Historical,D2
1504-01=,"Misti, El",Peru,-16.294,-71.409,5822,Stratovolcano,Historical,D4
0804-04=,Miyake-jima,Izu Is-Japan,34.08,139.53,815,Stratovolcano,Historical,D1
1507-13=,Mocho-Choshuenco,Chile-C,-39.927,-72.027,2422,Stratovolcano,Historical,D2
1101-111,Moffett,Aleutian Is,51.93,-176.75,1196,Stratovolcano,Holocene,U
1505-064,"Moiro, Cerro",Bolivia,-21.68,-67.47,4250,Scoria cone,Holocene,Unknown
1502-003,Mojanda,Ecuador,0.13,-78.27,4263,Stratovolcano,Holocene,Unknown
1404-11=,Mombacho,Nicaragua,11.826,-85.968,1344,Stratovolcano,Holocene,U
1404-09=,Momotombo,Nicaragua,12.422,-86.54,1297,Stratovolcano,Historical,D2
1802-11=,Monaco Bank,Azores,37.6,-25.88,-197,Submarine volcano,Historical,D2
1507-041,Mondaca,Chile-C,-35.464,-70.8,2048,Lava dome,Holocene,U
1203-12-,Mono Craters,US-California,37.88,-119,2796,Lava dome,Radiocarbon,D6
1203-11-,Mono Lake Volc Field,US-California,38,-119.03,2121,Cinder cone,Tephrochronology,D4
0402-05-,Monowai Seamount,Kermadec Is,-25.887,-177.188,-100,Submarine volcano,Historical,D1
0608-063,Moti,Halmahera-Indonesia,0.45,127.4,950,Stratovolcano,Holocene,U
0507-001,Motlav,Vanuatu-SW Pacific,-13.67,167.67,411,Stratovolcano,Holocene,U
1303-05-,Moua Pihaa,Society Is-C Pacific,-18.32,-148.67,-180,Submarine volcano,Seismicity,U
0201-123,Mousa Alli,Ethiopia,12.47,42.4,2028,Stratovolcano,Holocene,U
1402-13-,Moyuta,Guatemala,14.03,-90.1,1662,Stratovolcano,Hot Springs,U
0203-06-,Muhavura,Africa-C,-1.38,29.67,4127,Stratovolcano,Holocene,U
1702-08-,Mundafell,Iceland-S,63.98,-19.7,1491,Stratovolcano,Historical,D1
0502-021,Mundua,New Britain-SW Pac,-4.63,149.35,179,Complex volcano,Holocene,U
0503-02=,Musa River,New Guinea,-9.308,148.13,808,Hydrothermal field,Hot Springs,Unknown
1000-06=,Mutnovsky,Kamchatka,52.453,158.195,2322,Complex volcano,Historical,D2
0803-30-,Mutsu-Hiuchi-dake,Honshu-Japan,41.43,141.07,781,Stratovolcano,Fumarolic,U
0804-061,Myojun Knoll,Izu Is-Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown
0803-10=,Myoko,Honshu-Japan,36.88,138.12,2446,Stratovolcano,Radiocarbon,D7
1002-02-,NE Udokan Plateau,Russia-SE,56.33,118.07,2180,Volcanic field,Holocene,U
0201-101,Nabro,Ethiopia,13.37,41.7,2218,Stratovolcano,Holocene,Unknown
0802-04=,Nakano-shima,Ryukyu Is,29.85,129.87,979,Stratovolcano,Historical,D2
0202-04-,Namarunu,Africa-E,1.9,36.27,817,Shield volcano,Tephrochronology,D7
0803-141,Nantai,Honshu-Japan,36.77,139.5,2484,Stratovolcano,Holocene,U
1401-095,Naolinco Volc Field,Mexico,19.67,-96.75,2000,Pyroclastic cone,Holocene,U
0502-02=,Narage,New Britain-SW Pac,-4.55,149.125,307,Stratovolcano,Pleistocene-Geysers,Q
0600-001,Narcondum,Andaman Is-Indian O,13.43,94.25,710,Stratovolcano,Holocene,U
0803-20=,Narugo,Honshu-Japan,38.73,140.73,462,Caldera,Historical,D6
0803-15=,Nasu,Honshu-Japan,37.12,139.97,1917,Stratovolcano,Historical,D2
0703-082,Natib,Luzon-Philippines,14.705,120.4,1287,Stratovolcano,Holocene,Unknown
1200-14-,Nazko,Canada,52.9,-123.73,1230,Cinder cone,Radiocarbon,D7
0604-13=,Ndete Napu,Lesser Sunda Is,-8.72,121.78,750,Fumarole field,Fumarolic,Unknown
1503-05=,"Negra, Sierra",Galapagos,-0.83,-91.17,1490,Shield volcano,Historical,D1
1505-106,"Negrillar, El",Chile-N,-24.18,-68.25,3500,Pyroclastic cone,Holocene,Unknown
1505-109,"Negrillar, La",Chile-N,-24.28,-68.6,4109,Pyroclastic cone,Holocene,Unknown
1501-11=,"Negro de Mayasquer, Cerro",Colombia,0.828,-77.964,4445,Stratovolcano,Holocene,D2
1404-07=,"Negro, Cerro",Nicaragua,12.506,-86.702,728,Cinder cone,Historical,D1
1404-092,Nejapa-Miraflores,Nicaragua,12.12,-86.32,360,Fissure vent,Holocene,U
0900-32=,Nemo Peak,Kuril Is,49.57,154.808,1018,Caldera,Historical,D2
0103-02=,Nemrut Dagi,Turkey,38.65,42.02,3050,Stratovolcano,Historical,D6
1505-125,"Nevada, Sierra",Chile,-26.48,-68.58,6127,Complex volcano,Holocene,U
1600-04=,Nevis Peak,W Indies,17.15,-62.58,985,Stratovolcano,Holocene,U
1202-11-,Newberry Volcano,US-Oregon,43.722,-121.229,2434,Shield volcano,Radiocarbon,D6
0509-01-,Newer Volcanics Prov,Australia,-37.77,142.5,1011,Shield volcano,Radiocarbon,D7
0204-04-,Ngaoundere Plateau,Africa-W,7.25,13.67,0,Volcanic field,Holocene,Unknown
0401-09=,Ngauruhoe,New Zealand,-39.158,175.63,2291,Stratovolcano,Historical,D1
0202-164,Ngozi,Africa-E,-8.97,33.57,2622,Caldera,Holocene,U
0605-02=,Nieuwerkerk,Banda Sea,-6.6,124.675,-2285,Submarine volcano,Uncertain,Unknown
0805-021,Nigorigawa,Hokkaido-Japan,42.12,140.45,356,Hydrothermal field,Pleistocene-Fumarol,Q
0804-02=,Nii-jima,Izu Is-Japan,34.37,139.27,432,Lava dome,Historical,D6
0803-09=,Niigata-Yake-yama,Honshu-Japan,36.92,138.03,2400,Lava dome,Historical,D1
0804-132,Nikko,Volcano Is-Japan,23.075,142.308,-391,Submarine volcano,Uncertain,Unknown
0803-14=,Nikko-Shirane,Honshu-Japan,36.8,139.38,2578,Shield volcano,Historical,D3
0605-06=,Nila,Banda Sea,-6.73,129.5,781,Stratovolcano,Historical,D1
0805-061,Nipesotsu-Upepesanke,Japan,43.45,143.03,2013,Lava dome,Historical,D3
0805-031,Niseko,Hokkaido-Japan,42.88,140.63,1154,Stratovolcano,Holocene,U
0804-092,Nishino-shima,Volcano Is-Japan,27.243,140.877,52,Caldera,Historical,D1
0102-05=,Nisyros,Greece,36.58,27.18,698,Stratovolcano,Historical,D3
0403-11=,Niuafoou,Tonga-SW Pacific,-15.6,-175.63,260,Shield volcano,Historical,D1
0505-04=,Nonda,Solomon Is-SW Pacifi,-7.67,156.6,760,Stratovolcano,Pleistocene-Fumarol,Q
0803-06=,Norikura,Honshu-Japan,36.12,137.55,3026,Stratovolcano,Radiocarbon,D7
1301-021,North Gorda Ridge,Pacific-NE,42.67,-126.78,-3000,Submarine volcano,Historical,D1
0202-001,North Island,Africa-E,4.07,36.05,520,Tuff cone,Holocene,U
1202-07-,North Sister Field,US-Oregon,44.17,-121.77,3074,Complex volcano,Radiocarbon,D6
0507-081,North Vate,Vanuatu-SW Pacific,-17.45,168.33,594,Stratovolcano,Holocene,U
0303-012,Nosy-Be,Madagascar,-13.32,48.48,214,Cinder cone,Holocene,U
1102-18-,Novarupta,Alaska Peninsula,58.27,-155.16,841,Caldera,Historical,D2
1505-033,Nuevo Mundo,Bolivia,-19.78,-66.48,5438,Lava dome,Holocene,U
0803-151,Numazawa,Honshu-Japan,37.43,139.58,1100,Shield volcano,Radiocarbon,D7
1104-06-,Nunivak Island,Alaska-W,60.02,-166.33,511,Shield volcano,Holocene,U
0202-056,Nyambeni Hills,Africa-E,0.23,37.87,750,Shield volcano,Holocene,U
0203-02=,Nyamuragira,Africa-C,-1.408,29.2,3058,Shield volcano,Historical,D1
0203-03=,Nyiragongo,Africa-C,-1.52,29.25,3470,Stratovolcano,Historical,D1
0404-01=,Ofu-Olosega,Samoa-SW Pacific,-14.175,-169.618,639,Shield volcano,Historical,D3
1505-13=,"Ojos del Salado, Nevados",Chile-N,-27.12,-68.53,6887,Stratovolcano,Holocene,U
1002-06-,Oka Volc Field,Russia-SE,52.7,98.98,2077,Cinder cone,Holocene,U
0401-05=,Okataina,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1
0803-003,Oki-Dogo,Honshu-Japan,36.17,133.33,151,Shield volcano,Anthropology,U
1101-29-,Okmok,Aleutian Is,53.42,-168.13,1073,Shield volcano,Historical,D1
0204-03-,Oku Volc Field,Africa-W,6.25,10.5,3011,Maar,Radiocarbon,D5
0202-055,Ol Kokwe,Africa-E,0.63,36.08,1130,Shield volcano,Holocene,U
1505-05=,Olca-Paruma,Chile-N,-20.93,-68.48,5407,Stratovolcano,Historical,D3
0202-09=,Olkaria,Africa-E,-0.904,36.292,2434,Pumice cone,Radiocarbon,D4
1000-055,Olkoviy,Kamchatka,52.077,157.477,636,Shield volcano,Holocene,U
1505-06=,Ollague,Chile-N,-21.3,-68.18,5868,Stratovolcano,Holocene,U
0100-03-,Olot Volc Field,Spain,42.17,2.53,893,Pyroclastic cone,Holocene,Unknown
0804-091,Omachi Seamount,Izu Is-Japan,29.22,140.8,-1700,Submarine volcano,Uncertain,Unknown
0803-142,Omanago Group,Honshu-Japan,36.78,139.5,2367,Lava dome,Holocene,U
0803-04=,On-take,Honshu-Japan,35.9,137.48,3063,Complex volcano,Historical,D1
1000-08=,Opala,Kamchatka,52.543,157.335,2475,Caldera,Radiocarbon,D6
1704-01=,Oraefajokull,Iceland-SE,64,-16.65,2119,Stratovolcano,Historical,D4
1401-10=,"Orizaba, Pico de",Mexico,19.03,-97.268,5675,Stratovolcano,Historical,D5
0302-14-,Ormus Islands,Arabia-S,26,57,0,Submarine volcano,Holocene,D2
1405-01=,Orosi,Costa Rica,10.98,-85.473,1659,Stratovolcano,Uncertain,Unknown
0804-01=,Oshima,Izu Is-Japan,34.73,139.38,758,Stratovolcano,Historical,D1
0805-01=,Oshima-Oshima,Hokkaido-Japan,41.5,139.37,737,Stratovolcano,Historical,D4
0803-29=,Osore-yama,Honshu-Japan,41.32,141.08,879,Stratovolcano,Historical,D4
1508-01=,Osorno,Chile-S,-41.1,-72.493,2652,Stratovolcano,Historical,D3
1000-056,Ostanets,Kamchatka,52.146,157.322,719,Shield volcano,Holocene,U
1000-68-,Ostry,Kamchatka,58.18,160.82,2552,Stratovolcano,Holocene,U
1000-057,Otdelniy,Kamchatka,52.22,157.428,791,Shield volcano,Holocene,U
1505-097,"Overo, Cerro",Chile-N,-23.35,-67.67,4555,Maar,Holocene,U
1000-051,Ozernoy,Kamchatka,51.88,157.38,562,Shield volcano,Holocene,U
1402-11=,Pacaya,Guatemala,14.381,-90.601,2552,Complex volcano,Historical,D1
0701-09-,Paco,Mindanao-Philippines,9.593,125.52,524,Stratovolcano,Anthropology,U
0804-17=,Pagan,Mariana Is-C Pacific,18.13,145.8,570,Stratovolcano,Historical,D1
0502-08=,Pago,New Britain-SW Pac,-5.58,150.52,742,Caldera,Historical,D2
0202-053,Paka,Africa-E,0.92,36.18,1697,Shield volcano,Ar/Ar,D7
1508-08-,Palei-Aike Volc Field,Chile-S,-52,-70,250,Cinder cone,Anthropology,D7
1508-052,Palena Volc Group,Chile-S,-43.68,-72.5,0,Cinder cone,Holocene,U
1507-022,Palomo,Chile-C,-34.608,-70.295,4860,Stratovolcano,Holocene,U
0604-15=,Paluweh,Lesser Sunda Is,-8.32,121.708,875,Stratovolcano,Historical,D1
1505-042,Pampa Luxsar,Bolivia,-20.85,-68.2,5543,Volcanic field,Holocene,U
1502-031,Pan de Azucar,Ecuador,-0.43,-77.72,3482,Stratovolcano,Holocene,U
0703-045,Panay,Luzon-Philippines,13.723,120.893,501,Stratovolcano,Pleistocene-Fumarol,Q
0101-071,Pantelleria,Italy,36.77,12.02,836,Shield volcano,Historical,D3
1507-152,"Pantoja, Cerro",Chile-C,-40.77,-71.95,2112,Stratovolcano,Holocene,U
0603-10=,Papandayan,Java,-7.32,107.73,2665,Stratovolcano,Historical,D2
1401-081,Papayo,Mexico,19.308,-98.7,3600,Lava dome,Holocene,U
1401-05=,Paricutin Volcanic Field,Mexico,19.48,-102.25,3860,Cinder cone,Historical,D2
1505-016,Parinacota,Chile-N,-18.17,-69.15,6348,Stratovolcano,Holocene,U
0701-011,Parker,Mindanao-Philippines,6.12,124.892,1824,Stratovolcano,Historical,D5
0601-231,Patah,Sumatra,-4.27,103.3,2817,Unknown,Uncertain,Unknown
1600-11=,"Patates, Morne",W Indies,15.22,-61.37,960,Stratovolcano,Radiocarbon,D5
1505-012,Patilla Pata,Bolivia,-18.05,-69.03,5300,Stratovolcano,Holocene,Unknown
0703-087,Patoc,Luzon-Philippines,17.147,120.98,1865,Stratovolcano,Fumarolic,U
0603-07=,Patuha,Java,-7.15,107.37,2434,Stratovolcano,Holocene,U
1900-041,Paulet,Antarctica,-63.58,-55.77,353,Cinder cone,Holocene,U
1102-03-,Pavlof,Alaska Peninsula,55.42,-161.9,2519,Stratovolcano,Historical,D1
1102-04-,Pavlof Sister,Alaska Peninsula,55.45,-161.87,2142,Stratovolcano,Historical,D4
1507-066,"Payun Matru, Cerro",Argentina,-36.42,-69.2,3691,Shield volcano,Holocene,U
1505-127,Peinado,Argentina,-26.62,-68.15,5740,Stratovolcano,Holocene,U
1600-12=,Pelee,W Indies,14.82,-61.17,1397,Stratovolcano,Historical,D2
0603-291,Penanggungan,Java,-7.62,112.63,1653,Stratovolcano,Holocene,U
0601-191,Pendan,Sumatra,-2.82,102.02,0,Unknown,Holocene,U
0801-041,Peng-Chia-Hsu,Taiwan-N of,25.63,122.07,129,Stratovolcano,Pleistocene-Fumarol,Q
1900-031,Penguin Island,Antarctica,-62.1,-57.93,180,Stratovolcano,Lichenometry,D2
0603-04=,Perbakti,Java,-6.75,106.68,1699,Stratovolcano,Fumarolic,U
1501-062,Petacas,Colombia,1.57,-76.78,4054,Lava dome,Holocene,Unknown
1900-029,Peter I Island,Antarctica,-68.85,-90.58,1640,Shield volcano,Holocene,U
0601-03=,Peuet Sague,Sumatra,4.914,96.329,2801,Complex volcano,Historical,D1
1802-02=,Pico,Azores,38.47,-28.4,2351,Stratovolcano,Historical,D4
1000-271,Piip,Kamchatka-E of,55.42,167.33,-300,Submarine volcano,Tephrochronology,D7
1404-08=,"Pilas, Las",Nicaragua,12.495,-86.688,1088,Complex volcano,Historical,D2
1505-032,"Pina, Cerro",Chile-N,-19.492,-68.65,4037,Unknown,Holocene,Unknown
1401-001,Pinacate,Mexico,31.772,-113.498,1200,Cinder cone,Holocene,U
0703-083,Pinatubo,Luzon-Philippines,15.13,120.35,1486,Stratovolcano,Historical,D1
1503-07=,Pinta,Galapagos,0.58,-90.75,780,Shield volcano,Historical,D2
1000-054,Piratkovsky,Kamchatka,52.113,157.849,1322,Stratovolcano,Holocene,U
1507-04=,Planchon-Peteroa,Chile-C,-35.24,-70.57,4107,Caldera,Historical,D1
1405-034,Platanar,Costa Rica,10.3,-84.366,2267,Stratovolcano,Holocene,U
1900-013,"Pleiades, The",Antarctica,-72.67,165.5,3040,Stratovolcano,K-Ar,D7
1000-63-,Plosky,Kamchatka,57.83,160.25,1255,Shield volcano,Holocene,U
1000-31-,Plosky,Kamchatka,55.2,158.47,1236,Shield volcano,Holocene,U
1000-052,Plosky Volc Group,Kamchatka,52.02,157.53,681,Volcanic field,Holocene,U
1405-04=,Poas,Costa Rica,10.2,-84.233,2708,Stratovolcano,Historical,D1
0703-02=,Pocdol Mountains,Luzon-Philippines,13.05,123.958,1102,Compound volcano,Holocene,U
0604-07=,Poco Leok,Lesser Sunda Is,-8.68,120.48,1675,Unknown,Fumarolic,U
1000-47-,Pogranychny,Kamchatka,56.85,159.8,1427,Shield volcano,Holocene,U
0705-08-,Popa,SE Asia,20.87,95.23,1518,Stratovolcano,Anthropology,D7
1401-09=,Popocatepetl,Mexico,19.023,-98.622,5426,Stratovolcano,Historical,D1
0304-04-,"Possession, Ile de la",Indian O-S,-46.42,51.63,934,Stratovolcano,Holocene,U
1203-07-,Potato Butte,US-California,40.63,-121.43,1532,Shield volcano,Holocene,Unknown
1701-07=,Prestahnukur,Iceland-SW,64.6,-20.58,1390,Subglacial volcano,Radiocarbon,D7
0900-19=,Prevo Peak,Kuril Is,47.02,152.12,1360,Stratovolcano,Historical,D3
1401-00-,"Prieto, Cerro",Mexico,32.418,-115.305,223,Lava dome,Holocene,Unknown
0304-06-,Prince Edward Island,Indian O-S,-46.63,37.95,672,Shield volcano,Holocene,U
1900-14-,Protector Shoal,Antarctica,-55.92,-28.08,-27,Submarine volcano,Historical,D2
1505-031,Puchuldiza,Chile-N,-19.42,-68.97,4500,Hydrothermal field,Pleistocene-Geysers,Q
1507-072,Puesto Cortaderas,Argentina,-37.55,-69.62,970,Pyroclastic cone,Holocene,U
1505-105,Pular,Chile-N,-24.18,-68.05,6233,Stratovolcano,Holocene,U
0601-01=,Pulau Weh,Sumatra,5.82,95.28,617,Stratovolcano,Pleistocene-Fumarol,Q
1502-011,Pululagua,Ecuador,0.038,-78.463,3356,Caldera,Radiocarbon,D7
1507-16-,Puntiagudo-Cordon Cenizo,Chile-C,-40.969,-72.264,2493,Stratovolcano,Historical,D3
1501-06=,Purace,Colombia,2.32,-76.4,4650,Stratovolcano,Historical,D1
1505-094,Purico Complex,Chile-N,-23,-67.75,5703,Pyroclastic shield,Holocene,U
1505-09=,Putana,Chile-N,-22.57,-67.87,5890,Stratovolcano,Historical,D1
1507-15=,Puyehue,Chile-C,-40.59,-72.117,2236,Stratovolcano,Holocene,U
1508-054,Puyuhuapi,Chile-S,-44.3,-72.53,255,Cinder cone,Holocene,U
0302-02-,Qaleh Hasan Ali,Iran,29.4,57.57,0,Maar,Holocene,Unknown
1600-14=,Qualibou,W Indies,13.83,-61.05,777,Caldera,Historical,D4
1505-074,Quetena,Bolivia,-22.25,-67.42,5730,Fissure vent,Holocene,Unknown
1507-121,Quetrupillan,Chile-C,-39.5,-71.7,2360,Caldera,Historical,D3
